date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-04-03,36111,Ulster,331310,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-03,36113,Warren,330191,,,,,82.0,,,,,,,,,,11.7,,,,,
2020-04-03,36119,Westchester,330184,,,,,27.0,,,,,,,,,,27.0,,,,,
2020-04-03,36119,Westchester,330234,,,,,80.0,,,,,,,,,,11.4,,,,,
2020-04-03,36119,Westchester,330267,,,,,246.0,,,,,,,,,,35.1,,,,,
2020-04-03,36119,Westchester,330304,,,,,485.0,,,,,,,,,,69.3,,,,,
2020-04-10,36001,Albany,330057,,,,,153.0,,,,,,,,,,38.3,,,,,
2020-04-10,36005,Bronx,330009,,,,,259.0,,,,,,,,,,37.0,,,,,
2020-04-10,36005,Bronx,330399,,,,,341.0,,,,,,,,,,68.2,,,,,
2020-04-10,36005,Bronx,332006,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-10,36007,Broome,330394,,,,,16.0,,,,,,,,,,8.0,,,,,
2020-04-10,36013,Chautauqua,330166,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-10,36013,Chautauqua,330239,,,,,77.0,,,,,,,,,,11.0,,,,,
2020-04-10,36019,Clinton,330250,,,,,,,,,,,,,,,,,,,,
2020-04-10,36021,Columbia,330094,,,,,16.0,,,,,,,,,,8.0,,,,,
2020-04-10,36023,Cortland,330175,,,,,24.0,,,,,,,,,,8.0,,,,,
2020-04-10,36025,Delaware,331304,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-10,36025,Delaware,331312,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-10,36027,Dutchess,330049,,,,,49.0,,,,,,,,,,7.0,,,,,
2020-04-10,36029,Erie,330005,,,,,1001.0,,,,,,,,,,143.0,,,,,
2020-04-10,36029,Erie,330102,,,,,105.0,,,,,,,,,,15.0,,,,,
2020-04-10,36029,Erie,330111,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-10,36029,Erie,330219,,,,,434.0,,,,,,,,,,62.0,,,,,
2020-04-10,36029,Erie,330279,,,,,252.0,,,,,,,,,,36.0,,,,,
2020-04-10,36029,Erie,330354,,,,,,,,,,,,,,,,,,,,
2020-04-10,36029,Erie,333562,,,,,735.0,,,,,,,,,,105.0,,,,,
2020-04-10,36033,Franklin,330084,,,,,35.0,,,,,,,,,,5.0,,,,,
2020-04-10,36035,Fulton,330276,,,,,32.0,,,,,,,,,,8.0,,,,,
2020-04-10,36045,Jefferson,330157,,,,,80.0,,,,,,,,,,11.4,,,,,
2020-04-10,36045,Jefferson,331309,,,,,,,,,,,,,,,,,,,,
2020-04-10,36047,Kings,330056,,,,,210.0,,,,,,,,,,30.0,,,,,
2020-04-10,36047,Kings,330201,,,,,140.0,,,,,,,,,,20.0,,,,,
2020-04-10,36047,Kings,330221,,,,,256.0,,,,,,,,,,64.0,,,,,
2020-04-10,36047,Kings,330236,,,,,745.0,,,,,,,,,,106.4,,,,,
2020-04-10,36047,Kings,330396,,,,,399.0,,,,,,,,,,57.0,,,,,
2020-04-10,36049,Lewis,331317,,,,,12.0,,,,,,,,,,4.0,,,,,
2020-04-10,36051,Livingston,330238,,,,,56.0,,,,,,,,,,8.0,,,,,
2020-04-10,36055,Monroe,330125,,,,,210.0,,,,,,,,,,52.5,,,,,
2020-04-10,36055,Monroe,330164,,,,,42.0,,,,,,,,,,14.0,,,,,
