date,fips,county,hospital_pk,total_adult_inpatient_sum,used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum
2020-08-14,36055,Monroe,330226,9639.0,11966.0,151.0,106.0,2780.0,1241.0,1428.0,811.0,37.0,37.0
2020-08-14,36057,Montgomery,330047,702.0,371.0,5.0,5.0,72.0,28.0,66.0,28.0,0.0,0.0
2020-08-14,36059,Nassau,330332,18897.0,14372.0,515.0,290.0,2983.0,1764.0,2857.0,1448.0,111.0,37.0
2020-08-14,36063,Niagara,330163,1895.0,1092.0,11.0,9.0,195.0,103.0,195.0,102.0,0.0,0.0
2020-08-14,36065,Oneida,330044,0.0,311.0,115.0,52.0,70.0,30.0,0.0,0.0,24.0,11.0
2020-08-14,36067,Onondaga,330140,7399.0,6466.0,75.0,50.0,1379.0,990.0,1134.0,873.0,34.0,27.0
2020-08-14,36069,Ontario,330265,1526.0,1052.0,13.0,5.0,236.0,96.0,182.0,84.0,0.0,0.0
2020-08-14,36071,Orange,330205,1990.0,2404.0,88.0,36.0,820.0,222.0,475.0,102.0,19.0,14.0
2020-08-14,36073,Orleans,331319,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36075,Oswego,330218,738.0,343.0,0.0,0.0,102.0,40.0,102.0,40.0,0.0,0.0
2020-08-14,36077,Otsego,330136,193.0,741.0,20.0,6.0,120.0,71.0,0.0,71.0,0.0,0.0
2020-08-14,36079,Putnam,330273,684.0,314.0,0.0,0.0,60.0,14.0,60.0,0.0,0.0,0.0
2020-08-14,36081,Queens,330193,20568.0,18083.0,2116.0,546.0,4587.0,2081.0,3269.0,1399.0,300.0,95.0
2020-08-14,36083,Rensselaer,330180,1218.0,1004.0,89.0,84.0,168.0,95.0,168.0,95.0,18.0,16.0
2020-08-14,36085,Richmond,330028,4389.0,4597.0,156.0,75.0,868.0,440.0,609.0,283.0,30.0,26.0
2020-08-14,36087,Rockland,330104,0.0,231.0,21.0,0.0,20.0,20.0,0.0,0.0,5.0,0.0
2020-08-14,36091,Saratoga,330222,0.0,308.0,6.0,4.0,62.0,43.0,0.0,43.0,0.0,0.0
2020-08-14,36093,Schenectady,330406,2205.0,1413.0,83.0,35.0,308.0,190.0,308.0,190.0,12.0,0.0
2020-08-14,36095,Schoharie,331320,217.0,84.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36097,Schuyler,331313,156.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36099,Seneca,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36101,Steuben,330144,133.0,405.0,0.0,0.0,58.0,28.0,0.0,26.0,0.0,0.0
2020-08-14,36103,Suffolk,330043,15441.0,13978.0,874.0,373.0,2782.0,1789.0,2334.0,1538.0,124.0,80.0
2020-08-14,36105,Sullivan,330386,435.0,365.0,6.0,0.0,95.0,33.0,95.0,33.0,0.0,0.0
2020-08-14,36107,Tioga,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36109,Tompkins,330307,1050.0,644.0,17.0,0.0,112.0,50.0,112.0,50.0,7.0,0.0
2020-08-14,36111,Ulster,330004,1071.0,742.0,28.0,4.0,91.0,29.0,91.0,29.0,4.0,0.0
2020-08-14,36113,Warren,330191,1442.0,1025.0,13.0,4.0,154.0,49.0,154.0,49.0,0.0,0.0
2020-08-14,36115,Washington,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36117,Wayne,330030,0.0,345.0,0.0,0.0,84.0,43.0,0.0,0.0,0.0,0.0
2020-08-14,36119,Westchester,330184,7145.0,4577.0,674.0,168.0,1231.0,355.0,1047.0,330.0,59.0,7.0
2020-08-14,36121,Wyoming,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36123,Yates,331314,126.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36061,New York,330199,48901.0,52433.0,2648.0,704.0,10619.0,7412.0,6210.0,4401.0,239.0,107.0
2020-08-14,99999,New York City,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36089,St. Lawrence,330197,309.0,775.0,19.0,17.0,107.0,45.0,22.0,22.0,0.0,0.0
2020-08-14,90036,Unassigned,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36001,Albany,330057,3290.0,2394.0,42.0,33.0,301.0,179.0,196.0,114.0,9.0,6.0
2020-08-21,36003,Allegany,330096,511.0,216.0,7.0,0.0,70.0,26.0,70.0,26.0,0.0,0.0
2020-08-21,36005,Bronx,330059,24961.0,15966.0,544.0,438.0,3501.0,2330.0,2689.0,1486.0,80.0,55.0
2020-08-21,36007,Broome,330011,4043.0,2445.0,100.0,100.0,426.0,250.0,426.0,246.0,56.0,56.0
2020-08-21,36009,Cattaraugus,330103,266.0,266.0,6.0,0.0,17.0,17.0,15.0,17.0,0.0,0.0
2020-08-21,36011,Cayuga,330235,0.0,524.0,25.0,5.0,133.0,48.0,133.0,48.0,0.0,0.0
2020-08-21,36013,Chautauqua,330239,1080.0,821.0,0.0,0.0,109.0,77.0,109.0,63.0,0.0,0.0
2020-08-21,36015,Chemung,330090,1155.0,824.0,0.0,0.0,140.0,104.0,140.0,104.0,0.0,0.0
2020-08-21,36017,Chenango,330033,0.0,48.0,0.0,0.0,49.0,10.0,0.0,0.0,0.0,0.0
2020-08-21,36019,Clinton,330250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36021,Columbia,330094,408.0,408.0,0.0,0.0,50.0,10.0,0.0,10.0,0.0,0.0
2020-08-21,36023,Cortland,330175,462.0,240.0,0.0,0.0,72.0,35.0,72.0,35.0,0.0,0.0
2020-08-21,36025,Delaware,331304,348.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36027,Dutchess,330049,3136.0,2384.0,247.0,61.0,337.0,282.0,224.0,180.0,31.0,10.0
2020-08-21,36029,Erie,330078,14110.0,12524.0,260.0,155.0,3942.0,1715.0,2387.0,1008.0,57.0,29.0
2020-08-21,36031,Essex,331302,175.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36033,Franklin,330084,1057.0,296.0,51.0,0.0,119.0,16.0,119.0,16.0,7.0,0.0
2020-08-21,36035,Fulton,330276,0.0,155.0,8.0,0.0,56.0,29.0,56.0,29.0,0.0,0.0
2020-08-21,36037,Genesee,330073,0.0,260.0,0.0,0.0,91.0,35.0,0.0,0.0,0.0,0.0
2020-08-21,36039,Greene,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36041,Hamilton,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36043,Herkimer,331311,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36045,Jefferson,331318,103.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36047,Kings,330233,22767.0,14396.0,934.0,214.0,2655.0,1799.0,2071.0,1321.0,135.0,58.0
2020-08-21,36049,Lewis,331317,250.0,82.0,0.0,0.0,30.0,10.0,30.0,10.0,0.0,0.0
2020-08-21,36051,Livingston,330238,252.0,198.0,9.0,7.0,56.0,33.0,56.0,33.0,0.0,0.0
2020-08-21,36053,Madison,330115,274.0,244.0,19.0,12.0,62.0,34.0,50.0,34.0,6.0,0.0
2020-08-21,36055,Monroe,330164,9639.0,12547.0,123.0,94.0,2982.0,1296.0,1428.0,788.0,33.0,31.0
2020-08-21,36057,Montgomery,330047,585.0,302.0,7.0,5.0,60.0,28.0,55.0,28.0,0.0,0.0
2020-08-21,36059,Nassau,330259,17377.0,13243.0,476.0,243.0,2765.0,1579.0,2599.0,1255.0,111.0,45.0
2020-08-21,36063,Niagara,330188,1889.0,1048.0,0.0,0.0,195.0,88.0,195.0,88.0,0.0,0.0
2020-08-21,36065,Oneida,330215,0.0,289.0,115.0,60.0,70.0,33.0,0.0,0.0,12.0,0.0
