date,fips,county,hospital_pk,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-08-07,36023,Cortland,330175,385.0,205.0,,,60.0,24.0,60.0,24.0,,
2020-08-07,36025,Delaware,331312,252.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36025,Delaware,331304,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36025,Delaware,331305,112.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36027,Dutchess,330023,2436.0,2010.0,261.0,18.0,288.0,257.0,175.0,161.0,23.0,7.0
2020-08-07,36027,Dutchess,330049,700.0,403.0,15.0,-999999.0,49.0,20.0,49.0,20.0,-999999.0,-999999.0
2020-08-07,36029,Erie,330102,697.0,697.0,0.0,0.0,39.0,39.0,39.0,39.0,0.0,0.0
2020-08-07,36029,Erie,330354,798.0,759.0,6.0,6.0,84.0,66.0,84.0,66.0,0.0,0.0
2020-08-07,36029,Erie,330219,3626.0,3212.0,17.0,17.0,322.0,241.0,322.0,241.0,7.0,7.0
2020-08-07,36029,Erie,330279,,462.0,0.0,0.0,90.0,55.0,,,0.0,0.0
2020-08-07,36029,Erie,330078,1427.0,772.0,68.0,68.0,1198.0,68.0,694.0,15.0,,
2020-08-07,36029,Erie,330005,6748.0,4271.0,165.0,58.0,1253.0,569.0,1253.0,569.0,46.0,14.0
2020-08-07,36029,Erie,330111,105.0,49.0,-999999.0,0.0,0.0,0.0,,0.0,,
2020-08-07,36031,Essex,331302,25.0,90.0,-999999.0,,0.0,0.0,,,,
2020-08-07,36033,Franklin,330079,791.0,218.0,33.0,0.0,84.0,11.0,84.0,11.0,7.0,0.0
2020-08-07,36033,Franklin,330084,266.0,97.0,7.0,,35.0,-999999.0,35.0,-999999.0,-999999.0,
2020-08-07,36035,Fulton,330276,,177.0,25.0,0.0,56.0,43.0,56.0,43.0,10.0,0.0
2020-08-07,36037,Genesee,330073,,172.0,,,78.0,21.0,,,,
2020-08-07,36043,Herkimer,331311,,116.0,10.0,,0.0,0.0,,0.0,,
2020-08-07,36045,Jefferson,331318,140.0,140.0,0.0,,0.0,0.0,,,,
2020-08-07,36045,Jefferson,331309,,64.0,,,0.0,0.0,,,,
2020-08-07,36047,Kings,330056,2758.0,1098.0,7.0,5.0,315.0,116.0,133.0,56.0,0.0,0.0
2020-08-07,36047,Kings,330397,,,,,,,,,,
2020-08-07,36047,Kings,330194,3551.0,3409.0,118.0,117.0,411.0,341.0,411.0,341.0,61.0,61.0
2020-08-07,36047,Kings,330233,,,43.0,24.0,,,,,10.0,5.0
2020-08-07,36047,Kings,330202,4637.0,2330.0,177.0,10.0,349.0,297.0,293.0,182.0,26.0,0.0
2020-08-07,36047,Kings,330196,4067.0,1653.0,161.0,41.0,413.0,253.0,315.0,213.0,28.0,5.0
2020-08-07,36047,Kings,330221,,602.0,205.0,15.0,120.0,56.0,120.0,56.0,5.0,5.0
2020-08-07,36047,Kings,330201,,,308.0,8.0,,,,,53.0,0.0
2020-08-07,36047,Kings,330396,3800.0,1133.0,113.0,18.0,231.0,136.0,231.0,103.0,11.0,0.0
2020-08-07,36047,Kings,330236,3463.0,3275.0,91.0,90.0,490.0,331.0,252.0,223.0,22.0,22.0
2020-08-07,36047,Kings,330019,938.0,682.0,17.0,17.0,135.0,123.0,135.0,123.0,0.0,0.0
2020-08-07,36049,Lewis,331317,,52.0,0.0,0.0,30.0,12.0,,,,
2020-08-07,36051,Livingston,330238,252.0,207.0,0.0,0.0,56.0,31.0,56.0,31.0,0.0,0.0
