date,fips,county,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-08-07,36055,Monroe,0.0,1377.0,1677.14,19.86,11.86,397.14,180.86,204.0,117.86,4.0,3.86
2020-08-07,36057,Montgomery,0.0,66.86,33.29,0.0,0.0,6.86,3.29,6.29,3.29,0.0,0.0
2020-08-07,36059,Nassau,0.0,2711.43,2054.86,92.86,49.29,425.0,248.0,407.0,211.71,18.86,5.86
2020-08-07,36063,Niagara,0.0,268.57,144.0,4.14,1.71,27.29,15.14,27.29,15.14,0.57,0.0
2020-08-07,36065,Oneida,0.0,0.0,40.29,15.57,9.43,10.0,3.71,0.0,0.0,4.57,3.0
2020-08-07,36067,Onondaga,0.0,1057.0,937.14,9.86,6.43,197.0,143.43,162.0,128.29,4.43,3.29
2020-08-07,36069,Ontario,0.0,218.0,141.57,2.43,2.43,33.71,13.57,26.0,10.29,1.14,1.14
2020-08-07,36071,Orange,0.0,284.29,339.71,10.86,2.71,117.14,32.14,67.86,16.14,1.57,1.0
2020-08-07,36073,Orleans,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36075,Oswego,0.0,123.0,63.71,0.86,0.0,17.0,5.86,17.0,5.86,0.0,0.0
2020-08-07,36077,Otsego,0.0,14.29,97.71,2.0,0.0,17.14,11.86,0.0,11.86,0.0,0.0
2020-08-07,36079,Putnam,0.0,97.71,58.57,0.0,0.0,8.57,2.29,8.57,0.0,0.0,0.0
2020-08-07,36081,Queens,0.0,2989.43,2619.71,315.86,83.14,687.57,288.43,493.86,173.86,42.86,10.71
2020-08-07,36083,Rensselaer,0.0,174.43,159.86,12.0,11.29,24.0,13.0,24.0,13.0,2.0,2.0
2020-08-07,36085,Richmond,0.0,627.0,660.86,25.71,12.43,134.0,72.29,97.0,44.14,7.0,5.57
2020-08-07,36087,Rockland,0.0,0.0,73.29,6.0,2.57,6.86,6.86,0.0,0.0,0.0,0.0
2020-08-07,36091,Saratoga,0.0,0.0,63.0,0.71,0.71,13.29,10.71,0.0,10.71,0.0,0.0
2020-08-07,36093,Schenectady,0.0,315.0,193.0,6.86,0.57,44.0,24.43,44.0,24.43,1.71,0.0
2020-08-07,36095,Schoharie,0.0,31.0,13.14,1.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36097,Schuyler,0.0,18.57,8.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36099,Seneca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36101,Steuben,0.0,16.29,59.71,1.43,0.71,8.0,5.57,0.0,5.57,0.0,0.0
2020-08-07,36103,Suffolk,0.0,2177.86,1967.14,130.0,45.57,394.43,248.86,330.43,222.71,12.86,4.29
2020-08-07,36105,Sullivan,0.0,62.14,48.29,1.0,0.0,13.57,4.86,13.57,4.86,0.0,0.0
2020-08-07,36107,Tioga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36109,Tompkins,0.0,150.0,92.71,3.14,0.0,16.0,6.0,16.0,6.0,0.0,0.0
2020-08-07,36111,Ulster,0.0,153.0,97.86,4.29,1.86,13.0,3.71,13.0,3.71,0.0,0.0
2020-08-07,36113,Warren,0.0,206.0,144.0,0.0,0.0,22.0,8.43,22.0,8.43,0.0,0.0
