date,fips,county,boundary,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-08-07,36029,Erie,1.0,1939.5,1304.9,36.3,20.0,460.7,169.5,343.7,133.3,7.6,2.0
2020-08-07,36031,Essex,1.0,25.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36033,Franklin,1.0,151.0,45.0,5.7,0.0,17.0,2.0,17.0,2.0,2.0,0.0
2020-08-07,36035,Fulton,1.0,0.0,0.0,1.0,0.0,8.0,6.1,8.0,6.1,1.0,0.0
2020-08-07,36037,Genesee,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0
2020-08-07,36039,Greene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36041,Hamilton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36043,Herkimer,1.0,0.0,16.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36045,Jefferson,1.0,20.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36047,Kings,1.0,3316.3,1922.1,187.4,42.5,358.9,239.3,276.9,188.5,25.3,12.7
2020-08-07,36049,Lewis,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
2020-08-07,36051,Livingston,1.0,36.0,29.6,0.0,0.0,8.0,4.4,8.0,4.4,0.0,0.0
2020-08-07,36053,Madison,1.0,40.7,37.7,2.0,1.0,10.0,2.0,7.0,2.0,1.0,0.0
2020-08-07,36055,Monroe,1.0,1377.0,927.8,19.9,9.9,426.0,188.0,204.0,117.9,5.0,1.0
2020-08-07,36057,Montgomery,1.0,117.0,58.3,1.0,1.0,12.0,5.8,11.0,5.8,1.0,0.0
2020-08-07,36059,Nassau,1.0,2711.4,1966.2,85.8,42.1,425.0,247.9,407.0,211.7,20.8,5.0
2020-08-07,36063,Niagara,1.0,281.0,150.3,3.0,2.0,29.0,14.1,29.0,14.1,2.0,0.0
2020-08-07,36065,Oneida,1.0,0.0,0.0,18.2,9.2,10.0,1.0,0.0,0.0,2.0,2.0
2020-08-07,36067,Onondaga,1.0,1057.0,862.1,9.0,5.6,197.0,143.4,162.0,128.3,2.0,2.0
2020-08-07,36069,Ontario,1.0,218.0,116.0,2.0,2.0,35.0,10.1,26.0,9.1,1.0,1.0
2020-08-07,36071,Orange,1.0,398.0,280.6,11.2,3.0,150.0,40.8,95.0,22.6,4.0,1.0
2020-08-07,36073,Orleans,1.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36075,Oswego,1.0,123.0,62.2,1.0,0.0,17.0,5.9,17.0,5.9,1.0,0.0
2020-08-07,36077,Otsego,1.0,20.0,159.5,2.0,0.0,30.0,20.8,0.0,20.8,0.0,0.0
2020-08-07,36079,Putnam,1.0,114.0,68.3,1.0,0.0,10.0,1.0,10.0,0.0,1.0,0.0
2020-08-07,36081,Queens,1.0,2989.5,1903.4,318.3,78.9,692.5,289.9,493.9,175.3,36.0,5.0
2020-08-07,36083,Rensselaer,1.0,174.4,159.9,12.0,11.3,24.0,13.0,24.0,13.0,1.0,1.0
2020-08-07,36085,Richmond,1.0,627.0,404.6,25.7,12.4,134.0,72.3,97.0,44.1,2.0,2.0
2020-08-07,36087,Rockland,1.0,0.0,0.0,7.0,1.0,9.6,9.6,0.0,0.0,0.0,0.0
2020-08-07,36091,Saratoga,1.0,0.0,147.0,1.0,1.0,31.0,25.0,0.0,25.0,1.0,1.0
2020-08-07,36093,Schenectady,1.0,315.0,192.7,6.9,1.0,44.0,24.4,44.0,24.4,1.0,0.0
2020-08-07,36095,Schoharie,1.0,31.0,13.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36097,Schuyler,1.0,26.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36099,Seneca,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36101,Steuben,1.0,19.0,59.5,1.0,1.0,8.0,5.6,0.0,5.6,1.0,1.0
2020-08-07,36103,Suffolk,1.0,2208.8,1864.8,132.2,44.5,398.0,252.1,334.0,225.9,12.0,6.0
2020-08-07,36105,Sullivan,1.0,87.0,67.6,1.0,0.0,19.0,6.8,19.0,6.8,1.0,0.0
2020-08-07,36107,Tioga,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36109,Tompkins,1.0,150.0,88.1,1.0,0.0,16.0,6.0,16.0,6.0,1.0,0.0
2020-08-07,36111,Ulster,1.0,153.0,97.9,2.0,2.0,13.0,1.0,13.0,1.0,1.0,0.0
2020-08-07,36113,Warren,1.0,206.0,144.0,1.0,0.0,22.0,8.4,22.0,8.4,0.0,0.0
2020-08-07,36115,Washington,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36117,Wayne,1.0,0.0,0.0,0.0,0.0,14.0,7.5,0.0,0.0,0.0,0.0
2020-08-07,36119,Westchester,1.0,1053.1,690.1,112.0,30.7,263.0,53.2,192.0,51.9,8.0,4.0
2020-08-07,36121,Wyoming,1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,5.0,0.0,0.0
2020-08-07,36123,Yates,1.0,18.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36061,New York,1.0,7029.7,5512.9,367.5,120.2,1522.1,1106.8,882.8,643.3,42.6,19.2
2020-08-07,99999,New York City,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36089,St. Lawrence,1.0,77.2,77.2,1.0,1.0,13.0,6.8,1.0,1.0,0.0,0.0
2020-08-07,90036,Unassigned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36001,Albany,1.0,470.0,352.1,8.3,7.9,43.4,26.7,27.7,17.6,1.0,1.0
2020-08-14,36003,Allegany,1.0,65.0,26.5,1.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0
2020-08-14,36005,Bronx,1.0,3607.3,2022.7,90.8,76.7,514.0,304.8,401.0,197.8,5.0,5.0
2020-08-14,36007,Broome,1.0,685.0,234.0,19.3,19.3,78.0,51.2,78.0,50.5,12.0,12.0
2020-08-14,36009,Cattaraugus,1.0,117.0,117.0,5.0,0.0,7.0,7.0,7.0,0.0,1.0,0.0
2020-08-14,36011,Cayuga,1.0,0.0,75.3,1.0,1.0,19.0,5.0,19.0,5.0,1.0,1.0
2020-08-14,36013,Chautauqua,1.0,171.0,109.6,1.0,1.0,19.0,5.7,19.0,4.7,1.0,1.0
2020-08-14,36015,Chemung,1.0,165.0,110.1,0.0,0.0,20.0,14.4,20.0,14.4,0.0,0.0
2020-08-14,36017,Chenango,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
2020-08-14,36019,Clinton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36021,Columbia,1.0,81.2,81.6,1.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0
2020-08-14,36023,Cortland,1.0,77.0,38.4,0.0,0.0,12.0,4.6,12.0,4.6,0.0,0.0
2020-08-14,36025,Delaware,1.0,57.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36027,Dutchess,1.0,448.0,334.7,35.4,6.0,55.0,42.6,32.0,26.6,5.3,2.0
2020-08-14,36029,Erie,1.0,1943.9,1330.2,33.9,21.1,454.6,176.2,337.6,138.2,7.0,2.0
2020-08-14,36031,Essex,1.0,25.0,13.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36033,Franklin,1.0,151.0,35.9,2.0,0.0,17.0,2.0,17.0,2.0,2.0,0.0
2020-08-14,36035,Fulton,1.0,0.0,0.0,1.0,0.0,8.0,4.3,8.0,4.3,1.0,0.0
2020-08-14,36037,Genesee,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0
2020-08-14,36039,Greene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
