date,fips,county,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-08-07,36087,Rockland,0.0,0.0,513.0,42.0,18.0,48.0,48.0,0.0,0.0,0.0,0.0
2020-08-07,36091,Saratoga,0.0,0.0,441.0,5.0,5.0,93.0,75.0,0.0,75.0,0.0,0.0
2020-08-07,36093,Schenectady,0.0,2205.0,1351.0,48.0,4.0,308.0,171.0,308.0,171.0,12.0,0.0
2020-08-07,36095,Schoharie,0.0,217.0,92.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36097,Schuyler,0.0,130.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36099,Seneca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36101,Steuben,0.0,114.0,418.0,10.0,5.0,56.0,39.0,0.0,39.0,0.0,0.0
2020-08-07,36103,Suffolk,0.0,15245.0,13770.0,910.0,319.0,2761.0,1742.0,2313.0,1559.0,90.0,30.0
2020-08-07,36105,Sullivan,0.0,435.0,338.0,7.0,0.0,95.0,34.0,95.0,34.0,0.0,0.0
2020-08-07,36107,Tioga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36109,Tompkins,0.0,1050.0,649.0,22.0,0.0,112.0,42.0,112.0,42.0,0.0,0.0
2020-08-07,36111,Ulster,0.0,1071.0,685.0,30.0,13.0,91.0,26.0,91.0,26.0,0.0,0.0
2020-08-07,36113,Warren,0.0,1442.0,1008.0,0.0,0.0,154.0,59.0,154.0,59.0,0.0,0.0
2020-08-07,36115,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36117,Wayne,0.0,0.0,368.0,0.0,0.0,84.0,45.0,0.0,0.0,0.0,0.0
2020-08-07,36119,Westchester,0.0,7208.0,4471.0,666.0,223.0,1662.0,341.0,1321.0,332.0,61.0,18.0
2020-08-07,36121,Wyoming,0.0,0.0,25.0,0.0,0.0,7.0,5.0,0.0,5.0,0.0,0.0
2020-08-07,36123,Yates,0.0,108.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36061,New York,0.0,49208.0,52236.0,2586.0,859.0,10655.0,7753.0,6180.0,4509.0,284.0,145.0
2020-08-07,99999,New York City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36089,St. Lawrence,0.0,302.0,720.0,12.0,12.0,91.0,54.0,19.0,19.0,0.0,0.0
2020-08-07,90036,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36001,Albany,0.0,3290.0,2465.0,58.0,55.0,304.0,187.0,194.0,123.0,4.0,4.0
2020-08-14,36003,Allegany,0.0,431.0,172.0,0.0,0.0,70.0,17.0,70.0,17.0,0.0,0.0
2020-08-14,36005,Bronx,0.0,25251.0,15354.0,640.0,539.0,3598.0,2134.0,2807.0,1384.0,73.0,49.0
2020-08-14,36007,Broome,0.0,3358.0,1983.0,88.0,88.0,348.0,222.0,348.0,219.0,48.0,48.0
2020-08-14,36009,Cattaraugus,0.0,117.0,117.0,5.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0
2020-08-14,36011,Cayuga,0.0,0.0,540.0,25.0,0.0,133.0,35.0,133.0,35.0,0.0,0.0
2020-08-14,36013,Chautauqua,0.0,1119.0,864.0,4.0,4.0,117.0,43.0,117.0,33.0,0.0,0.0
2020-08-14,36015,Chemung,0.0,1155.0,781.0,0.0,0.0,140.0,101.0,140.0,101.0,0.0,0.0
2020-08-14,36017,Chenango,0.0,0.0,34.0,0.0,0.0,49.0,7.0,0.0,0.0,0.0,0.0
2020-08-14,36019,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36021,Columbia,0.0,406.0,408.0,12.0,12.0,50.0,19.0,0.0,19.0,0.0,0.0
