date,fips,county,daily_cases,daily_hospitalized,daily_deaths,daily_cases_avg,daily_hospitalized_avg,daily_deaths_avg
2020-07-24,36005,Bronx,73,10,1,68,8,1
2020-07-25,36005,Bronx,25,12,6,64,8,2
2020-07-26,36005,Bronx,30,7,1,63,8,2
2020-07-27,36005,Bronx,58,12,1,58,8,2
2020-07-28,36005,Bronx,58,9,5,56,9,2
2020-07-29,36005,Bronx,80,5,1,56,9,2
2020-07-30,36005,Bronx,58,6,1,55,9,2
2020-07-31,36005,Bronx,55,6,1,52,8,2
2020-08-01,36005,Bronx,37,6,2,54,7,2
2020-08-02,36005,Bronx,30,6,0,54,7,2
2020-08-03,36005,Bronx,96,13,1,59,7,2
2020-08-04,36005,Bronx,47,13,1,58,8,1
2020-08-05,36005,Bronx,66,10,1,56,9,1
2020-08-06,36005,Bronx,65,9,1,57,9,1
2020-08-07,36005,Bronx,53,7,1,56,9,1
2020-08-08,36005,Bronx,30,6,0,55,9,1
2020-08-09,36005,Bronx,19,7,1,54,9,1
2020-08-10,36005,Bronx,89,8,1,53,9,1
2020-08-11,36005,Bronx,70,10,0,56,8,1
2020-08-12,36005,Bronx,59,6,1,55,8,1
2020-08-13,36005,Bronx,60,9,1,54,8,1
2020-08-14,36005,Bronx,68,6,1,56,7,1
2020-08-15,36005,Bronx,42,8,2,58,8,1
2020-08-16,36005,Bronx,23,12,2,59,8,1
2020-08-17,36005,Bronx,71,9,0,56,9,1
2020-08-18,36005,Bronx,55,15,1,54,9,1
2020-08-19,36005,Bronx,50,4,0,53,9,1
2020-08-20,36005,Bronx,63,12,2,53,9,1
2020-08-21,36005,Bronx,52,9,0,51,10,1
2020-08-22,36005,Bronx,29,6,0,49,10,1
2020-08-23,36005,Bronx,32,2,2,50,8,1
2020-08-24,36005,Bronx,64,11,5,49,8,1
2020-08-25,36005,Bronx,64,10,2,51,8,2
2020-08-26,36005,Bronx,64,6,1,53,8,2
2020-08-27,36005,Bronx,52,10,1,51,8,2
2020-08-28,36005,Bronx,77,4,3,55,7,2
2020-08-29,36005,Bronx,28,7,1,54,7,2
2020-08-30,36005,Bronx,20,2,2,53,7,2
2020-08-31,36005,Bronx,46,8,1,50,7,2
2020-09-01,36005,Bronx,53,5,1,49,6,1
2020-09-02,36005,Bronx,42,3,0,45,6,1
2020-09-03,36005,Bronx,40,2,2,44,4,1
2020-09-04,36005,Bronx,44,7,1,39,5,1
2020-09-05,36005,Bronx,30,7,0,39,5,1
2020-09-06,36005,Bronx,18,3,2,39,5,1
2020-09-07,36005,Bronx,32,5,0,37,5,1
2020-09-08,36005,Bronx,81,7,1,41,5,1
2020-09-09,36005,Bronx,56,5,1,43,5,1
2020-09-10,36005,Bronx,45,3,1,44,5,1
2020-09-11,36005,Bronx,55,11,2,45,6,1
2020-09-12,36005,Bronx,35,2,1,46,5,1
2020-09-13,36005,Bronx,19,2,0,46,5,1
2020-09-14,36005,Bronx,75,4,1,52,5,1
2020-09-15,36005,Bronx,54,11,2,48,5,1
2020-09-16,36005,Bronx,49,7,1,47,6,1
2020-09-17,36005,Bronx,59,7,1,49,6,1
2020-09-18,36005,Bronx,45,12,1,48,6,1
2020-09-19,36005,Bronx,30,2,1,47,6,1
2020-09-20,36005,Bronx,23,7,0,48,7,1
2020-09-21,36005,Bronx,69,6,1,47,7,1
2020-09-22,36005,Bronx,59,9,0,48,7,1
2020-09-23,36005,Bronx,80,6,1,52,7,1
2020-09-24,36005,Bronx,63,6,0,53,7,1
2020-09-25,36005,Bronx,48,11,2,53,7,1
2020-09-26,36005,Bronx,42,5,3,55,7,1
2020-09-27,36005,Bronx,32,5,0,56,7,1
2020-09-28,36005,Bronx,82,6,1,58,7,1
2020-09-29,36005,Bronx,64,7,3,59,7,1
2020-09-30,36005,Bronx,52,2,3,55,6,2
2020-10-01,36005,Bronx,76,3,0,57,6,2
2020-10-02,36005,Bronx,80,5,0,61,5,1
2020-10-03,36005,Bronx,34,2,1,60,4,1
2020-10-04,36005,Bronx,34,4,0,60,4,1
2020-10-05,36005,Bronx,94,10,0,62,5,1
2020-10-06,36005,Bronx,67,7,0,62,5,1
2020-10-07,36005,Bronx,75,8,1,66,6,0
2020-10-08,36005,Bronx,83,8,1,67,6,0
2020-10-09,36005,Bronx,92,7,1,68,7,1
2020-10-10,36005,Bronx,36,3,1,69,7,1
2020-10-11,36005,Bronx,38,12,2,69,8,1
2020-10-12,36005,Bronx,53,3,1,63,7,1
2020-10-13,36005,Bronx,91,9,0,67,7,1
2020-10-14,36005,Bronx,89,5,2,69,7,1
2020-10-15,36005,Bronx,91,13,1,70,7,1
2020-10-16,36005,Bronx,78,7,1,68,7,1
