county,new_cases,new_death
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1050.0,69.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",459.0,17.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",471.0,49.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",471.0,57.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1060.0,61.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",748.0,65.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",651.0,51.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",656.0,48.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",353.0,49.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",239.0,54.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",698.0,54.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",582.0,21.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",518.0,40.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",534.0,27.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",418.0,46.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",255.0,34.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",212.0,36.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",473.0,22.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",431.0,27.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",383.0,19.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",384.0,34.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",428.0,22.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",210.0,19.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",194.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",400.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",438.0,22.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",370.0,20.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",387.0,33.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",385.0,16.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",219.0,18.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",184.0,17.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",416.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",395.0,18.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",395.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",311.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",332.0,20.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",219.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",218.0,12.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",459.0,28.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",456.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",419.0,15.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",428.0,18.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",251.0,16.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",132.0,14.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",165.0,22.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",456.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",485.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",455.0,15.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",411.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",328.0,15.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",276.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",237.0,17.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",506.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",418.0,15.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",462.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",440.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",439.0,9.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",236.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",201.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",430.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",357.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",350.0,12.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",321.0,9.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",317.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",169.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",159.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",332.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",331.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",314.0,8.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",285.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",286.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",203.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",149.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",372.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",208.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",321.0,9.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",307.0,3.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",282.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",189.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",150.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",343.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",290.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",340.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",310.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",300.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",167.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",159.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",355.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",314.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",297.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",249.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",279.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",157.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",176.0,3.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",322.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",303.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",337.0,1.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",296.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",297.0,47.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",154.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",204.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",332.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",331.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",298.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",302.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",250.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",167.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",229.0,1.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",241.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",420.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",383.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",353.0,0.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",344.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",229.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",284.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",462.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",389.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",408.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",388.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",322.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",185.0,1.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",184.0,1.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",570.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",463.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",597.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",548.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",514.0,8.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",313.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",430.0,3.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",475.0,9.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",760.0,14.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",668.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",696.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",682.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",323.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",406.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",938.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",641.0,3.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",631.0,3.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",600.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",618.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",356.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",330.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",586.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",700.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",717.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",734.0,12.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",630.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",473.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",529.0,2.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",794.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",768.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",818.0,1.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",941.0,3.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",778.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",521.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",517.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",912.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",976.0,8.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1008.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",848.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",878.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",550.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",737.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1287.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1205.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1478.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1542.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1458.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1200.0,8.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1164.0,16.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2090.0,4.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2091.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1986.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2000.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2005.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1458.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1329.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2361.0,18.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2286.0,18.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2284.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2388.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2274.0,9.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1645.0,8.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1562.0,10.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2887.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2654.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2994.0,9.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1200.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3053.0,5.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2371.0,6.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2357.0,11.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3584.0,12.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4130.0,16.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3824.0,25.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3777.0,12.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3532.0,7.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2536.0,13.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2408.0,16.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4290.0,12.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3927.0,30.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4038.0,23.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3977.0,28.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3797.0,19.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2690.0,22.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2952.0,27.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4436.0,26.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4454.0,44.0
