county,new_cases,new_death
New York City,3585.0,56.0
New York City,4609.0,61.0
New York City,4047.0,58.0
New York City,3618.0,65.0
New York City,3856.0,61.0
New York City,3196.0,53.0
New York City,3199.0,32.0
New York City,2878.0,49.0
New York City,4191.0,61.0
New York City,4013.0,53.0
New York City,3520.0,47.0
New York City,3112.0,56.0
New York City,2882.0,63.0
New York City,2303.0,31.0
New York City,2743.0,51.0
New York City,2891.0,60.0
New York City,3232.0,52.0
New York City,2402.0,55.0
New York City,2631.0,34.0
New York City,2793.0,29.0
New York City,2431.0,38.0
New York City,1951.0,22.0
New York City,2433.0,46.0
New York City,2079.0,44.0
New York City,1842.0,48.0
New York City,1904.0,36.0
New York City,1307.0,12.0
New York City,1799.0,59.0
New York City,1192.0,12.0
New York City,1428.0,54.0
New York City,1579.0,35.0
New York City,1705.0,52.0
New York City,1277.0,27.0
New York City,1136.0,29.0
New York City,865.0,31.0
New York City,1043.0,36.0
New York City,1112.0,37.0
New York City,986.0,34.0
New York City,1135.0,31.0
New York City,947.0,25.0
New York City,741.0,28.0
New York City,494.0,17.0
New York City,872.0,38.0
New York City,828.0,35.0
New York City,823.0,39.0
New York City,429.0,0.0
New York City,928.0,32.0
New York City,556.0,22.0
New York City,899.0,24.0
New York City,378.0,13.0
New York City,634.0,16.0
New York City,609.0,20.0
New York City,489.0,13.0
New York City,437.0,12.0
New York City,369.0,18.0
New York City,442.0,12.0
New York City,308.0,13.0
New York City,517.0,14.0
New York City,388.0,13.0
New York City,348.0,17.0
New York City,295.0,8.0
New York City,238.0,5.0
New York City,249.0,17.0
New York City,136.0,5.0
New York City,205.0,15.0
New York City,342.0,19.0
New York City,350.0,9.0
New York City,194.0,18.0
New York City,223.0,4.0
New York City,241.0,12.0
New York City,221.0,4.0
New York City,279.0,8.0
New York City,416.0,13.0
New York City,168.0,10.0
New York City,163.0,6.0
New York City,200.0,4.0
New York City,180.0,7.0
New York City,136.0,0.0
New York City,221.0,7.0
New York City,241.0,3.0
New York City,200.0,4.0
New York City,187.0,1.0
New York City,174.0,3.0
New York City,125.0,4.0
New York City,128.0,0.0
New York City,233.0,2.0
New York City,214.0,6.0
New York City,188.0,8.0
New York City,230.0,8.0
New York City,176.0,5.0
New York City,149.0,5.0
New York City,167.0,-1.0
