date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-07-31,36047,Kings,330350,130,113,-999999,-999999,25,20,16,10,,,130.0,113.0,-999999.0,-999999.0,25.0,20.0,16.0,10.0,,
2020-07-31,36047,Kings,330196,4066,1615,147,37,412,226,315,192,30,6,580.9,230.7,21.0,5.3,58.9,32.3,45.0,27.4,4.3,-999999.0
2020-07-31,36049,Lewis,331317,,,0,0,24,5,,,,,,,0.0,0.0,6.0,-999999.0,,,,
2020-07-31,36051,Livingston,330238,252,163,-999999,0,56,28,56,27,0,0,36.0,23.3,-999999.0,0.0,8.0,4.0,8.0,-999999.0,0.0,0.0
2020-07-31,36053,Madison,331316,121,121,6,0,24,4,4,4,-999999,0,17.3,17.3,-999999.0,0.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0
2020-07-31,36053,Madison,330115,127,125,13,13,42,14,42,14,0,0,18.1,17.9,-999999.0,-999999.0,6.0,-999999.0,6.0,-999999.0,0.0,0.0
2020-07-31,36055,Monroe,330285,7133,4815,104,65,1400,908,1260,753,12,12,1019.0,687.9,14.9,9.3,200.0,129.7,180.0,107.6,-999999.0,-999999.0
2020-07-31,36055,Monroe,330164,2506,1707,19,18,168,81,168,81,-999999,-999999,358.0,243.9,-999999.0,-999999.0,24.0,11.6,24.0,11.6,-999999.0,-999999.0
2020-07-31,36055,Monroe,330226,,,,,660,103,,,,,,,,,110.0,17.2,,,,
2020-07-31,36055,Monroe,330125,,,,,460,218,,,,,,,,,92.0,36.3,,,,
2020-07-31,36057,Montgomery,330047,702,274,9,0,72,37,66,37,0,0,117.0,45.7,-999999.0,0.0,12.0,6.2,11.0,6.2,0.0,0.0
2020-07-31,36059,Nassau,330027,2338,1903,75,7,448,396,378,342,31,7,334.0,271.9,10.7,-999999.0,64.0,56.6,54.0,57.0,4.4,-999999.0
2020-07-31,36059,Nassau,330331,1086,723,13,-999999,120,51,120,51,0,0,181.0,120.5,-999999.0,-999999.0,20.0,8.5,20.0,8.5,0.0,0.0
2020-07-31,36059,Nassau,330106,6138,3963,290,101,1032,567,1032,409,50,17,1023.0,660.5,48.3,16.8,172.0,94.5,172.0,68.2,8.3,-999999.0
2020-07-31,36059,Nassau,330259,1455,1007,58,58,126,70,70,39,-999999,-999999,207.9,143.9,8.3,8.3,18.0,10.0,10.0,5.6,-999999.0,-999999.0
2020-07-31,36059,Nassau,330198,2828,1843,19,14,287,119,287,116,-999999,,404.0,263.3,-999999.0,-999999.0,41.0,17.0,41.0,16.6,-999999.0,
2020-07-31,36059,Nassau,330332,1008,464,14,14,84,59,84,59,0,0,144.0,66.3,-999999.0,-999999.0,12.0,8.4,12.0,8.4,0.0,0.0
2020-07-31,36059,Nassau,330181,735,652,114,77,90,47,90,47,13,12,147.0,108.7,19.0,12.8,18.0,7.8,18.0,7.8,-999999.0,-999999.0
2020-07-31,36059,Nassau,330182,1792,1792,33,28,560,204,560,204,-999999,-999999,256.0,256.0,4.7,4.0,80.0,29.1,80.0,29.1,-999999.0,-999999.0
2020-07-31,36061,New York,330154,3298,3123,64,14,280,188,245,158,-999999,0,471.1,446.1,9.1,-999999.0,40.0,26.9,35.0,22.6,-999999.0,0.0
2020-07-31,36061,New York,330240,2161,760,20,6,294,114,294,88,-999999,0,308.7,108.6,-999999.0,-999999.0,42.0,16.3,42.0,12.6,-999999.0,0.0
2020-07-31,36061,New York,332008,1018,1018,18,18,,,,,,,145.4,145.4,-999999.0,-999999.0,,,,,,
2020-07-31,36061,New York,330024,9030,8195,272,38,1869,1703,1722,1577,13,4,1290.0,1170.7,38.9,5.4,267.0,243.3,246.0,225.3,-999999.0,-999999.0
2020-07-31,36061,New York,330119,2502,1784,150,24,600,228,600,130,6,-999999,417.0,297.3,25.0,4.0,100.0,38.0,100.0,21.7,-999999.0,-999999.0
2020-07-31,36061,New York,330270,1002,848,6,6,28,17,28,17,6,6,143.1,121.1,-999999.0,-999999.0,4.0,-999999.0,4.0,-999999.0,-999999.0,-999999.0
