date,fips,county,cases,deaths,active,recovered
2020-03-26,36033,Franklin,1,0,0,0
2020-03-26,36035,Fulton,1,0,0,0
2020-03-26,36037,Genesee,4,0,0,0
2020-03-26,36039,Greene,5,0,0,0
2020-03-26,36041,Hamilton,2,0,0,0
2020-03-26,36043,Herkimer,7,0,0,0
2020-03-26,36045,Jefferson,4,0,0,0
2020-03-26,36047,Kings,0,0,0,0
2020-03-26,36049,Lewis,0,0,0,0
2020-03-26,36051,Livingston,3,0,0,0
2020-03-26,36053,Madison,9,1,0,0
2020-03-26,36055,Monroe,148,4,0,0
2020-03-26,36057,Montgomery,5,0,0,0
2020-03-26,36059,Nassau,3914,17,0,0
2020-03-26,36063,Niagara,14,0,0,0
2020-03-26,36065,Oneida,13,0,0,0
2020-03-26,36067,Onondaga,111,1,0,0
2020-03-26,36069,Ontario,11,0,0,0
2020-03-26,36071,Orange,751,1,0,0
2020-03-26,36073,Orleans,2,0,0,0
2020-03-26,36075,Oswego,4,0,0,0
2020-03-26,36077,Otsego,3,0,0,0
2020-03-26,36079,Putnam,94,0,0,0
2020-03-26,36081,Queens,0,0,0,0
2020-03-26,36083,Rensselaer,44,0,0,0
2020-03-26,36085,Richmond,0,0,0,0
2020-03-26,36087,Rockland,1197,5,0,0
2020-03-26,36091,Saratoga,73,0,0,0
2020-03-26,36093,Schenectady,62,1,0,0
2020-03-26,36095,Schoharie,2,0,0,0
2020-03-26,36097,Schuyler,0,0,0,0
2020-03-26,36099,Seneca,0,0,0,0
2020-03-26,36101,Steuben,11,0,0,0
2020-03-26,36103,Suffolk,2735,22,0,0
2020-03-26,36105,Sullivan,53,0,0,0
2020-03-26,36107,Tioga,2,0,0,0
2020-03-26,36109,Tompkins,23,0,0,0
2020-03-26,36111,Ulster,78,0,0,0
2020-03-26,36113,Warren,2,0,0,0
2020-03-26,36115,Washington,4,0,0,0
2020-03-26,36117,Wayne,8,0,0,0
2020-03-26,36119,Westchester,5944,1,0,0
2020-03-26,36121,Wyoming,7,1,0,0
2020-03-26,36123,Yates,0,0,0,0
2020-03-26,36061,New York,0,0,0,0
2020-03-26,99999,New York City,21873,281,0,0
2020-03-26,36089,St. Lawrence,4,0,0,0
2020-03-26,90036,Unassigned,0,45,0,0
2020-03-27,36001,Albany,187,0,0,0
2020-03-27,36003,Allegany,2,0,0,0
2020-03-27,36005,Bronx,0,0,0,0
2020-03-27,36007,Broome,18,2,0,0
2020-03-27,36009,Cattaraugus,0,0,0,0
2020-03-27,36011,Cayuga,2,0,0,0
2020-03-27,36013,Chautauqua,2,0,0,0
2020-03-27,36015,Chemung,11,0,0,0
2020-03-27,36017,Chenango,4,0,0,0
2020-03-27,36019,Clinton,11,0,0,0
2020-03-27,36021,Columbia,27,0,0,0
2020-03-27,36023,Cortland,4,0,0,0
2020-03-27,36025,Delaware,8,0,0,0
2020-03-27,36027,Dutchess,225,1,0,0
2020-03-27,36029,Erie,245,5,0,0
2020-03-27,36031,Essex,5,0,0,0
2020-03-27,36033,Franklin,2,0,0,0
2020-03-27,36035,Fulton,1,0,0,0
2020-03-27,36037,Genesee,6,0,0,0
2020-03-27,36039,Greene,6,0,0,0
2020-03-27,36041,Hamilton,2,0,0,0
2020-03-27,36043,Herkimer,9,0,0,0
2020-03-27,36045,Jefferson,4,0,0,0
2020-03-27,36047,Kings,0,0,0,0
2020-03-27,36049,Lewis,0,0,0,0
2020-03-27,36051,Livingston,3,0,0,0
2020-03-27,36053,Madison,17,1,0,0
2020-03-27,36055,Monroe,166,4,0,0
2020-03-27,36057,Montgomery,5,0,0,0
2020-03-27,36059,Nassau,4657,19,0,0
2020-03-27,36063,Niagara,23,0,0,0
2020-03-27,36065,Oneida,13,0,0,0
2020-03-27,36067,Onondaga,123,1,0,0
2020-03-27,36069,Ontario,14,0,0,0
2020-03-27,36071,Orange,910,1,0,0
2020-03-27,36073,Orleans,3,0,0,0
2020-03-27,36075,Oswego,4,0,0,0
2020-03-27,36077,Otsego,5,0,0,0
2020-03-27,36079,Putnam,111,0,0,0
2020-03-27,36081,Queens,0,0,0,0
2020-03-27,36083,Rensselaer,44,0,0,0
2020-03-27,36085,Richmond,0,0,0,0
2020-03-27,36087,Rockland,1457,7,0,0
